,Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,State,Region,6(1) / (2),Industry,Segment,state_code,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket
80,SWISS MILITARY CONSUMER GOODS LIMITED,,Main Board,Right,Private,98296996,98296996,0.0,2022-08-10,2022-08-25,-,2.0,2.5,4.5,44.2336482,2022-09-13,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,delhi,Northern,,Misc,,del,Delhi,Northern,BSE,BSE,≥ 10crore - < 50crore
81,Add-Shop E-Retail Limited,,Main Board,Right,Private,9056255,9056255,0.0,2022-08-17,2022-08-30,-,10.0,44.0,54.0,48.903777,2022-09-13,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,gujarat,Western,,Misc,,guj,Gujarat,Western,BSE,BSE,≥ 10crore - < 50crore
82,Tamilnad Mercantile Bank Limited,,Main Board,IPO,Private,15840000,15840000,0.0,2022-09-05,2022-09-07,3.55,10.0,500.0,510.0,807.84,2022-09-15,7128000,4752000.0,11880000,2376000,1584000,0,0.0,0.0,0.0,0.0,0,0,15840000,tamil nadu,Southern,6(2),Banks/FIs,,tam,Tamil Nadu,Southern,NSE/BSE,BSE,≥ 500crore
83,Virtuoso Optoelectronics Limited,,SME,IPO,Private,5400000,5400000,0.0,2022-09-02,2022-09-07,96.73,10.0,46.0,56.0,30.24,2022-09-15,0,0.0,0,2560000,2560000,280000,0.0,0.0,0.0,0.0,0,280000,5120000,maharashtra,Western,,Misc,,mah,Maharashtra,Western,BSE,BSE,≥ 10crore - < 50crore
84,"Sandur Manganese & Iron Ores Ltd.,",,Main Board,Right,Private,18003882,18003882,0.0,2022-08-08,2022-08-29,-,10.0,0.0,10.0,18.003882,2022-09-15,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,karnataka,Southern,,Misc,,kar,Karnataka,Southern,BSE,BSE,≥ 10crore - < 50crore
85,Viviana Power Tech Limited,,SME,IPO,Private,1600000,1600000,0.0,2022-09-05,2022-09-08,85.51,10.0,45.0,55.0,8.8,2022-09-16,0,0.0,0,758000,758000,84000,0.0,0.0,0.0,0.0,0,84000,1516000,gujarat,Western,,Engineering,,guj,Gujarat,Western,NSE,NSE,≥ 5crore - < 10crore
86,Mega Flex Plastics Limited,,SME,IPO,Private,2850000,2850000,0.0,2022-09-06,2022-09-09,47.76,10.0,30.0,40.0,11.4,2022-09-19,0,0.0,0,1353000,1353000,144000,0.0,0.0,0.0,0.0,0,144000,2706000,west bengal,Eastern,,Plastic,,wes,West Bengal,Eastern,NSE,NSE,≥ 10crore - < 50crore
87,SHANTIDOOT INFRA SERVICES LIMITED,,SME,IPO,Private,496000,248000,248000.0,2022-09-06,2022-09-09,5.18,10.0,71.0,81.0,4.0176,2022-09-19,0,0.0,0,177600,292800,25600,0.0,0.0,0.0,0.0,0,25600,470400,bihar,Northern,,Misc,,bih,Bihar,Eastern,BSE,BSE,< 5 crore
88,G G Engineering Limited,,Main Board,Right,Private,277578135,277578135,0.0,2022-08-22,2022-09-07,-,1.0,0.8,1.8,49.9640643,2022-09-19,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,maharashtra,Western,,Electronic Equipments/ Products,,mah,Maharashtra,Western,BSE,BSE,≥ 10crore - < 50crore
89,Sabar Flex India Limited,,SME,IPO,Private,4070000,4070000,0.0,2022-09-08,2022-09-13,85.28,10.0,1.0,11.0,4.477,2022-09-21,0,0.0,0,1930000,1930000,210000,0.0,0.0,0.0,0.0,0,210000,3860000,gujarat,Western,,Misc,,guj,Gujarat,Western,NSE,NSE,< 5 crore
